,Unnamed: 0,Filename,Frame,Sequence,Z0,Z1,p,Run number
11,11,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.0.gsd,0,AAABABABBAABBBABAAAA,-1.3666578999999999,0.71263784,0.0,0.0
12,12,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.1.gsd,0,AAABABABBAABBBABAAAA,-0.18136436,0.418596,0.1,0.0
13,13,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.2.gsd,0,AAABABABBAABBBABAAAA,1.1323966,0.4833757000000001,0.2,0.0
14,14,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.3.gsd,0,AAABABABBAABBBABAAAA,1.0018984,0.76390123,0.3,0.0
15,15,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.4.gsd,0,AAABABABBAABBBABAAAA,0.466037,-0.28241304,0.4,0.0
16,16,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.5.gsd,0,AAABABABBAABBBABAAAA,1.8525398000000002,1.1889886,0.5,0.0
17,17,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.6.gsd,0,AAABABABBAABBBABAAAA,2.9515967,1.2483467,0.6,0.0
18,18,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.7.gsd,0,AAABABABBAABBBABAAAA,4.6286297,1.2600043,0.7,0.0
19,19,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.8.gsd,0,AAABABABBAABBBABAAAA,2.517419,0.5125653,0.8,0.0
20,20,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p0.9.gsd,0,AAABABABBAABBBABAAAA,3.6732602,1.0123415999999998,0.9,0.0
21,21,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_0_traj_box_43.1_43.1_43.1_kT_0.5_p1.0.gsd,0,AAABABABBAABBBABAAAA,6.2339025,-0.42442240000000003,1.0,0.0
22,22,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_1_traj_box_43.1_43.1_43.1_kT_0.5_p0.0.gsd,0,AAABABABBAABBBABAAAA,-1.5212427,0.870297,0.0,1.0
23,23,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_1_traj_box_43.1_43.1_43.1_kT_0.5_p0.1.gsd,0,AAABABABBAABBBABAAAA,-0.63313496,0.11220893,0.1,1.0
24,24,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_1_traj_box_43.1_43.1_43.1_kT_0.5_p0.2.gsd,0,AAABABABBAABBBABAAAA,0.22550908,0.39644626,0.2,1.0
25,25,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_1_traj_box_43.1_43.1_43.1_kT_0.5_p0.3.gsd,0,AAABABABBAABBBABAAAA,1.4965336,1.0212805,0.3,1.0
26,26,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_1_traj_box_43.1_43.1_43.1_kT_0.5_p0.4.gsd,0,AAABABABBAABBBABAAAA,1.9615832999999998,0.5764974,0.4,1.0
27,27,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_1_traj_box_43.1_43.1_43.1_kT_0.5_p0.5.gsd,0,AAABABABBAABBBABAAAA,2.6343746,2.1157150000000002,0.5,1.0
28,28,Npol_500_Nmon_20_seq_AAABABABBAABBBABAAAA_run_1_traj_box_43.1_43.1_43.1_kT_0.5_p0.6.gsd,0,AAABABABBAABBBABAAAA,1.9281508,1.1038298999999998,0.6,1.0
